,date,close,diff,open,high,low,volume,diff+-,up/down
114,2020-02-12,10500,100,10600,10650,10450,2654683,-100.0,0
115,2020-02-11,10600,0,10600,10700,10550,1390599,0.0,none
116,2020-02-10,10600,250,10750,10800,10550,2015197,-250.0,0
117,2020-02-07,10850,50,10850,10850,10700,1241093,-50.0,0
118,2020-02-06,10900,300,10600,10950,10600,1587087,300.0,1
121,2020-02-05,10600,50,10600,10750,10550,1222152,50.0,1
122,2020-02-04,10550,100,10700,10700,10500,1604177,-100.0,0
123,2020-02-03,10650,100,10650,10700,10500,1371028,-100.0,0
124,2020-01-31,10750,50,10900,10900,10750,1016276,-50.0,0
125,2020-01-30,10800,0,10800,10950,10800,1051202,0.0,none
129,2020-01-29,10800,100,10750,10850,10700,1069701,100.0,1
130,2020-01-28,10700,400,10950,11000,10700,2283509,-400.0,0
131,2020-01-23,11100,50,11150,11200,11100,865821,-50.0,0
132,2020-01-22,11150,50,11200,11250,11100,995026,-50.0,0
133,2020-01-21,11200,50,11250,11300,11200,800253,-50.0,0
136,2020-01-20,11250,0,11250,11350,11200,1217547,0.0,none
137,2020-01-17,11250,50,11150,11250,11100,903772,50.0,1
138,2020-01-16,11200,50,11250,11300,11100,867257,-50.0,0
139,2020-01-15,11250,50,11200,11350,11200,963366,50.0,1
140,2020-01-14,11200,50,11150,11250,11150,1547190,50.0,1
144,2020-01-13,11150,50,11050,11150,11000,1299071,50.0,1
145,2020-01-10,11100,0,11100,11200,11050,964214,0.0,none
146,2020-01-09,11100,50,11200,11350,11050,2011621,-50.0,0
147,2020-01-08,11150,250,11300,11350,11000,2053986,-250.0,0
148,2020-01-07,11400,50,11400,11450,11350,1027565,50.0,1
151,2020-01-06,11350,250,11550,11550,11300,1840398,-250.0,0
152,2020-01-03,11600,50,11600,11750,11550,1478623,50.0,1
153,2020-01-02,11550,250,11750,11800,11550,2004412,-250.0,0
154,2019-12-30,11800,100,11850,11900,11750,905560,-100.0,0
155,2019-12-27,11900,600,11900,11950,11800,3927328,-600.0,0
159,2019-12-26,12500,100,12400,12500,12400,3311160,100.0,1
160,2019-12-24,12400,50,12450,12500,12350,1970859,-50.0,0
161,2019-12-23,12450,150,12350,12450,12300,1596366,150.0,1
162,2019-12-20,12300,50,12350,12400,12300,1733966,-50.0,0
163,2019-12-19,12350,50,12350,12400,12300,1148372,-50.0,0
166,2019-12-18,12400,150,12250,12450,12200,1777513,150.0,1
167,2019-12-17,12250,0,12250,12300,12050,2318712,0.0,none
168,2019-12-16,12250,150,12450,12500,12250,1727050,-150.0,0
169,2019-12-13,12400,300,12150,12450,12150,3006285,300.0,1
170,2019-12-12,12100,250,11900,12100,11850,2548546,250.0,1
174,2019-12-11,11850,0,11850,11900,11750,1796182,0.0,none
175,2019-12-10,11850,50,11850,11950,11850,947065,-50.0,0
176,2019-12-09,11900,0,11900,11950,11800,1079212,0.0,none
177,2019-12-06,11900,150,11800,11900,11750,899497,150.0,1
178,2019-12-05,11750,0,11750,11800,11700,989875,0.0,none
181,2019-12-04,11750,0,11700,11750,11550,1543193,0.0,none
182,2019-12-03,11750,100,11800,11850,11700,1463040,-100.0,0
183,2019-12-02,11850,100,11750,11850,11700,1515447,100.0,1
184,2019-11-29,11750,150,11900,11950,11700,2045126,-150.0,0
185,2019-11-28,11900,50,11900,11950,11800,1404533,-50.0,0
189,2019-11-27,11950,50,11950,12000,11850,1307126,50.0,1
190,2019-11-26,11900,100,12000,12000,11900,2323894,-100.0,0
191,2019-11-25,12000,100,11900,12050,11900,1357311,100.0,1
192,2019-11-22,11900,0,11900,11950,11850,1617169,0.0,none
193,2019-11-21,11900,200,12100,12100,11850,2306766,-200.0,0
196,2019-11-20,12100,0,12100,12200,12050,2087841,0.0,none
197,2019-11-19,12100,150,12150,12200,12100,1347971,-150.0,0
198,2019-11-18,12250,0,12300,12300,12100,925919,0.0,none
199,2019-11-15,12250,250,12000,12300,12000,1445821,250.0,1
200,2019-11-14,12000,150,12150,12150,11950,2071043,-150.0,0
204,2019-11-13,12150,150,12300,12350,12100,1393155,-150.0,0
205,2019-11-12,12300,50,12250,12350,12200,962213,50.0,1
206,2019-11-11,12250,0,12250,12350,12200,756400,0.0,none
207,2019-11-08,12250,0,12250,12400,12200,1083176,0.0,none
208,2019-11-07,12250,150,12050,12300,12050,997816,150.0,1
211,2019-11-06,12100,100,12200,12250,12100,657413,-100.0,0
212,2019-11-05,12200,100,12100,12200,12050,1022321,100.0,1
213,2019-11-04,12100,200,11950,12100,11900,1088262,200.0,1
214,2019-11-01,11900,100,11800,11900,11800,798879,100.0,1
215,2019-10-31,11800,0,11850,11950,11800,1683760,0.0,none
219,2019-10-30,11800,250,12100,12150,11800,1832894,-250.0,0
220,2019-10-29,12050,50,12150,12150,12000,1425304,-50.0,0
221,2019-10-28,12100,600,12650,12650,12050,3066015,-600.0,0
222,2019-10-25,12700,0,12650,12700,12500,905407,0.0,none
223,2019-10-24,12700,100,12600,12700,12550,830842,100.0,1
226,2019-10-23,12600,250,12800,12800,12600,859235,-250.0,0
227,2019-10-22,12850,150,12700,12850,12700,1199084,150.0,1
228,2019-10-21,12700,100,12500,12700,12500,484282,100.0,1
229,2019-10-18,12600,150,12750,12850,12500,1205252,-150.0,0
230,2019-10-17,12750,100,12600,12800,12550,824501,100.0,1
234,2019-10-16,12650,0,12700,12850,12600,1673070,0.0,none
235,2019-10-15,12650,100,12650,12750,12600,1059148,-100.0,0
236,2019-10-14,12750,300,12550,12850,12500,968307,300.0,1
237,2019-10-11,12450,150,12350,12600,12300,1536007,150.0,1
238,2019-10-10,12300,250,12400,12500,12200,1925943,-250.0,0
241,2019-10-08,12550,250,12800,12850,12550,1818725,-250.0,0
242,2019-10-07,12800,50,12850,12900,12750,396854,50.0,1
243,2019-10-04,12750,200,12900,12950,12750,719355,-200.0,0
244,2019-10-02,12950,250,13150,13150,12950,891769,-250.0,0
245,2019-10-01,13200,0,13100,13250,13050,513976,0.0,none
249,2019-09-30,13200,350,12850,13200,12850,856713,350.0,1
250,2019-09-27,12850,550,13450,13450,12850,1332146,-550.0,0
251,2019-09-26,13400,100,13350,13450,13300,475426,100.0,1
252,2019-09-25,13300,0,13300,13400,13300,633028,0.0,none
253,2019-09-24,13300,200,13500,13550,13250,843548,-200.0,0
256,2019-09-23,13500,50,13450,13500,13400,540487,50.0,1
257,2019-09-20,13450,250,13100,13450,13100,836289,250.0,1
258,2019-09-19,13200,150,13350,13350,13050,891920,-150.0,0
259,2019-09-18,13350,50,13300,13400,13200,784335,50.0,1
260,2019-09-17,13300,100,13250,13400,13200,844859,-100.0,0
264,2019-09-16,13400,100,13300,13450,13250,951627,100.0,1
265,2019-09-11,13300,300,12950,13300,12950,1687890,300.0,1
266,2019-09-10,13000,300,12700,13100,12650,2108793,300.0,1
267,2019-09-09,12700,200,12450,12800,12450,1535977,200.0,1
268,2019-09-06,12500,100,12400,12600,12400,723351,100.0,1
271,2019-09-05,12400,50,12350,12500,12300,751555,50.0,1
272,2019-09-04,12350,50,12250,12350,12200,674749,50.0,1
273,2019-09-03,12300,100,12350,12450,12250,501541,-100.0,0
274,2019-09-02,12400,0,12350,12450,12250,340481,0.0,none
275,2019-08-30,12400,350,12150,12450,12100,990163,350.0,1
279,2019-08-29,12050,50,12050,12100,11900,443320,50.0,1
280,2019-08-28,12000,200,11800,12050,11750,694360,200.0,1
281,2019-08-27,11800,150,12000,12100,11800,1340489,-150.0,0
282,2019-08-26,11950,200,11950,12050,11850,981235,-200.0,0
283,2019-08-23,12150,50,12250,12250,12050,630500,-50.0,0
286,2019-08-22,12200,50,12300,12350,12200,925381,-50.0,0
287,2019-08-21,12250,0,12300,12350,12200,426267,0.0,none
288,2019-08-20,12250,100,12300,12350,12200,651559,-100.0,0
289,2019-08-19,12350,250,12100,12400,12100,632860,250.0,1
290,2019-08-16,12100,0,12050,12200,12000,637181,0.0,none
294,2019-08-14,12100,50,12250,12300,12100,764468,-50.0,0
295,2019-08-13,12150,300,12350,12400,12100,967649,-300.0,0
296,2019-08-12,12450,250,12700,12700,12450,622087,-250.0,0
297,2019-08-09,12700,300,12500,12800,12450,691453,300.0,1
298,2019-08-08,12400,200,12550,12650,12400,1168693,-200.0,0
301,2019-08-07,12600,50,12600,12700,12400,889731,50.0,1
302,2019-08-06,12550,50,12500,12800,12250,1506923,-50.0,0
303,2019-08-05,12600,50,12550,12750,12500,1091910,-50.0,0
304,2019-08-02,12650,400,13000,13100,12600,1042364,-400.0,0
305,2019-08-01,13050,100,13150,13250,13050,544743,-100.0,0
309,2019-07-31,13150,50,13200,13300,13150,762160,-50.0,0
310,2019-07-30,13200,100,13400,13400,13200,471919,-100.0,0
311,2019-07-29,13300,250,13550,13650,13300,728390,-250.0,0
312,2019-07-26,13550,150,13650,13700,13550,754387,-150.0,0
313,2019-07-25,13700,200,13900,13950,13700,665292,-200.0,0
316,2019-07-24,13900,50,13850,14000,13800,894363,50.0,1
317,2019-07-23,13850,100,13750,13950,13750,598915,100.0,1
318,2019-07-22,13750,50,13800,13850,13700,372377,-50.0,0
319,2019-07-19,13800,100,13750,13800,13700,345172,100.0,1
320,2019-07-18,13700,100,13750,13800,13650,504753,-100.0,0
324,2019-07-17,13800,0,13750,13850,13700,592604,0.0,none
325,2019-07-16,13800,100,13850,13900,13700,686988,-100.0,0
326,2019-07-15,13900,150,13750,13900,13700,601197,150.0,1
327,2019-07-12,13750,150,13650,13750,13600,526428,150.0,1
328,2019-07-11,13600,50,13550,13750,13500,559027,50.0,1
331,2019-07-10,13550,100,13650,13700,13550,623005,-100.0,0
332,2019-07-09,13650,100,13700,13800,13650,392740,-100.0,0
333,2019-07-08,13750,100,13800,13850,13700,506117,-100.0,0
334,2019-07-05,13850,50,13900,13900,13800,273295,-50.0,0
335,2019-07-04,13900,100,13850,13900,13750,502537,100.0,1
339,2019-07-03,13800,250,14000,14050,13750,824596,-250.0,0
340,2019-07-02,14050,50,14000,14050,13950,510904,-50.0,0
341,2019-07-01,14100,50,14150,14200,14000,446892,50.0,1
342,2019-06-28,14050,0,14050,14200,14050,637285,0.0,none
343,2019-06-27,14050,0,14000,14150,13950,575781,0.0,none
346,2019-06-26,14050,100,13900,14050,13900,496543,100.0,1
347,2019-06-25,13950,0,13950,14050,13900,610855,0.0,none
348,2019-06-24,13950,50,14000,14050,13950,542024,50.0,1
349,2019-06-21,13900,50,13950,14050,13900,643366,-50.0,0
350,2019-06-20,13950,100,14150,14150,13900,739207,-100.0,0
354,2019-06-19,14050,0,14100,14150,14050,469120,0.0,none
355,2019-06-18,14050,150,13900,14050,13900,578969,150.0,1
356,2019-06-17,13900,50,13950,14000,13850,389141,-50.0,0
357,2019-06-14,13950,0,13900,13950,13800,517265,0.0,none
358,2019-06-13,13950,50,13950,14050,13750,1201675,-50.0,0
361,2019-06-12,14000,50,14000,14100,13900,615776,50.0,1
362,2019-06-11,13950,0,13950,14000,13900,444563,0.0,none
363,2019-06-10,13950,100,13900,13950,13850,378464,100.0,1
364,2019-06-07,13850,0,13800,13900,13800,527814,0.0,none
365,2019-06-05,13850,100,14050,14050,13850,457217,-100.0,0
369,2019-06-04,13950,50,13900,14000,13850,614093,50.0,1
370,2019-06-03,13900,50,13800,14000,13700,721226,50.0,1
371,2019-05-31,13850,150,13900,13950,13750,710571,-150.0,0
372,2019-05-30,14000,350,13700,14000,13600,803977,350.0,1
373,2019-05-29,13650,100,13850,13850,13600,732218,-100.0,0
376,2019-05-28,13750,150,13950,13950,13750,1598572,-150.0,0
377,2019-05-27,13900,0,13950,13950,13850,339276,0.0,none
378,2019-05-24,13900,0,13850,14000,13850,523836,0.0,none
379,2019-05-23,13900,50,13950,14000,13850,618258,-50.0,0
380,2019-05-22,13950,50,13950,14000,13800,592683,-50.0,0
384,2019-05-21,14000,200,13750,14000,13750,598457,200.0,1
385,2019-05-20,13800,150,13950,14000,13800,549665,-150.0,0
386,2019-05-17,13950,50,14050,14050,13950,591250,-50.0,0
387,2019-05-16,14000,50,13900,14050,13850,618035,50.0,1
388,2019-05-15,13950,50,13900,14050,13800,614091,50.0,1
391,2019-05-14,13900,0,13900,14000,13750,790973,0.0,none
392,2019-05-13,13900,100,14100,14100,13850,467721,-100.0,0
393,2019-05-10,14000,100,13950,14100,13950,621061,100.0,1
394,2019-05-09,13900,350,14250,14300,13900,880681,-350.0,0
395,2019-05-08,14250,50,14200,14400,14150,502799,-50.0,0
399,2019-05-07,14300,100,14100,14300,14100,601914,100.0,1
400,2019-05-03,14200,250,14350,14450,14200,484698,-250.0,0
401,2019-05-02,14450,300,14100,14450,14100,706991,300.0,1
402,2019-04-30,14150,250,14300,14500,14150,631043,-250.0,0
403,2019-04-29,14400,300,14150,14400,14100,372229,300.0,1
406,2019-04-26,14100,200,14300,14350,14100,679489,-200.0,0
407,2019-04-25,14300,100,14250,14350,14200,455076,100.0,1
408,2019-04-24,14200,350,14500,14500,14200,753118,-350.0,0
409,2019-04-23,14550,100,14450,14600,14350,444600,100.0,1
410,2019-04-22,14450,0,14450,14550,14400,239531,0.0,none
414,2019-04-19,14450,0,14450,14550,14400,207000,0.0,none
415,2019-04-18,14450,200,14700,14700,14350,549716,-200.0,0
416,2019-04-17,14650,0,14600,14700,14500,309591,0.0,none
417,2019-04-16,14650,50,14500,14700,14500,302704,50.0,1
418,2019-04-15,14600,100,14650,14750,14600,429352,-100.0,0
421,2019-04-12,14700,250,14500,14700,14500,483676,250.0,1
422,2019-04-11,14450,100,14600,14650,14400,800178,-100.0,0
423,2019-04-10,14550,100,14350,14600,14250,590958,100.0,1
424,2019-04-09,14450,50,14400,14600,14400,475222,-50.0,0
425,2019-04-08,14500,100,14550,14700,14450,412279,-100.0,0
429,2019-04-05,14600,50,14600,14750,14450,368432,-50.0,0
430,2019-04-04,14650,100,14500,14700,14500,685174,100.0,1
431,2019-04-03,14550,0,14400,14600,14350,552110,0.0,none
432,2019-04-02,14550,200,14400,14600,14350,638543,200.0,1
433,2019-04-01,14350,300,14150,14450,14100,787277,300.0,1
436,2019-03-29,14050,100,14050,14150,14000,798691,100.0,1
437,2019-03-28,13950,150,14050,14100,13900,482063,-150.0,0
438,2019-03-27,14100,150,14050,14200,14000,440032,150.0,1
439,2019-03-26,13950,200,14150,14150,13950,764279,-200.0,0
440,2019-03-25,14150,50,14050,14250,13950,699990,-50.0,0
444,2019-03-22,14200,150,14250,14300,14150,633160,-150.0,0
445,2019-03-21,14350,150,14400,14550,14250,770624,-150.0,0
446,2019-03-20,14500,200,14600,14650,14400,665007,-200.0,0
447,2019-03-19,14700,50,14700,14700,14500,513525,50.0,1
448,2019-03-18,14650,50,14600,14700,14500,671078,50.0,1
451,2019-03-15,14600,400,14150,14600,14150,2078710,400.0,1
452,2019-03-14,14200,0,14250,14300,14050,1040141,0.0,none
453,2019-03-13,14200,50,14150,14250,14050,836991,50.0,1
454,2019-03-12,14150,200,14050,14200,13950,1132691,200.0,1
455,2019-03-11,13950,150,13800,14050,13750,804836,150.0,1
459,2019-03-08,13800,150,13900,13950,13750,613105,-150.0,0
460,2019-03-07,13950,0,14050,14100,13900,802744,0.0,none
461,2019-03-06,13950,50,14000,14050,13850,623783,-50.0,0
462,2019-03-05,14000,150,13850,14000,13850,734205,150.0,1
463,2019-03-04,13850,100,13950,14100,13850,1318817,-100.0,0
466,2019-02-28,13950,100,14100,14100,13900,1084214,-100.0,0
467,2019-02-27,14050,50,14000,14050,13900,520904,50.0,1
468,2019-02-26,14000,150,14100,14150,13950,629914,-150.0,0
469,2019-02-25,14150,150,13950,14150,13950,685417,150.0,1
470,2019-02-22,14000,100,14000,14100,13900,874943,-100.0,0
474,2019-02-21,14100,50,14000,14100,13950,843823,50.0,1
475,2019-02-20,14050,0,14000,14050,13850,1552496,0.0,none
476,2019-02-19,14050,200,14200,14250,14000,722188,-200.0,0
477,2019-02-18,14250,250,14100,14300,14050,1025110,250.0,1
478,2019-02-15,14000,100,14000,14100,13900,712797,-100.0,0
481,2019-02-14,14100,50,14000,14100,13800,995928,50.0,1
482,2019-02-13,14050,150,13950,14100,13900,987400,150.0,1
483,2019-02-12,13900,0,13900,13950,13800,605671,0.0,none
484,2019-02-11,13900,150,14050,14100,13800,1260222,-150.0,0
485,2019-02-08,14050,450,14500,14550,13950,1762899,-450.0,0
489,2019-02-07,14500,150,14450,14600,14250,898972,150.0,1
490,2019-02-01,14350,100,14250,14500,14250,1136012,100.0,1
491,2019-01-31,14250,100,14250,14400,14100,1561298,100.0,1
492,2019-01-30,14150,200,14000,14200,13850,1200654,200.0,1
493,2019-01-29,13950,100,13900,13950,13800,1019353,100.0,1
496,2019-01-28,13850,50,13900,13950,13800,660455,-50.0,0
497,2019-01-25,13900,50,13750,13900,13750,814035,50.0,1
498,2019-01-24,13850,200,13600,13850,13600,1038611,200.0,1
499,2019-01-23,13650,50,13650,13750,13550,1482242,50.0,1
500,2019-01-22,13600,100,13700,13750,13500,835059,-100.0,0
504,2019-01-21,13700,50,13800,13800,13650,555983,-50.0,0
505,2019-01-18,13750,100,13900,13950,13650,825532,-100.0,0
506,2019-01-17,13850,50,13950,14000,13650,939646,-50.0,0
507,2019-01-16,13900,200,13700,13900,13700,883356,200.0,1
508,2019-01-15,13700,300,13450,13750,13400,1184853,300.0,1
511,2019-01-14,13400,250,13650,13700,13300,1053857,-250.0,0
